2019-03-24 01:39:19.739  INFO 28374 --- [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$67f61cee] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.1.3.RELEASE)

2019-03-24 01:40:17.686  INFO 28374 --- [        Timer-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2019-03-24 01:40:17.686  INFO 28374 --- [        Timer-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
2019-03-24 01:40:17.686  INFO 28374 --- [        Timer-0] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2019-03-24 01:40:17.687  INFO 28374 --- [        Timer-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2019-03-24 01:40:17.688  INFO 28374 --- [        Timer-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2019-03-24 01:40:20.799  INFO 28374 --- [        Timer-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
2019-03-24 01:40:20.819  INFO 28374 --- [        Timer-0] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2019-03-24 01:40:20.832  INFO 28374 --- [        Timer-0] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-03-24 01:40:20.840  INFO 28374 --- [        Timer-0] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1553362820837 with initial instances count: 1
2019-03-24 01:40:20.844  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: account-service
2019-03-24 01:40:20.844  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: cart-service
2019-03-24 01:40:20.844  INFO 28374 --- [           main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application TURBINE-MONITOR with eureka with status UP
2019-03-24 01:40:20.845  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: cart-service
2019-03-24 01:40:20.845  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: edge-service
2019-03-24 01:40:20.845  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: edge-service
2019-03-24 01:40:20.845  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: order-service
2019-03-24 01:40:20.845  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: order-service
2019-03-24 01:40:20.845  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: payment-service
2019-03-24 01:40:20.845  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: payment-service
2019-03-24 01:40:20.845  INFO 28374 --- [           main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1553362820845, current=UP, previous=STARTING]
2019-03-24 01:40:20.846  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: product-service
2019-03-24 01:40:20.846  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: product-service
2019-03-24 01:40:20.846  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2019-03-24 01:40:20.846  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2019-03-24 01:40:20.846  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2019-03-24 01:40:20.848  INFO 28374 --- [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_TURBINE-MONITOR/169.254.66.60:turbine-monitor:8011: registering service...
2019-03-24 01:40:20.982  INFO 28374 --- [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_TURBINE-MONITOR/169.254.66.60:turbine-monitor:8011 - registration status: 204
2019-03-24 01:40:21.288  INFO 28374 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8011 (http) with context path ''
2019-03-24 01:40:21.290  INFO 28374 --- [           main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8011
2019-03-24 01:40:21.296  INFO 28374 --- [           main] com.doer.turbine.TurbineApplication      : Started TurbineApplication in 72.596 seconds (JVM running for 77.662)
2019-03-24 01:41:10.131  INFO 28374 --- [        Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : Fetching instance list for apps: [account-service, cart-service, edge-service, order-service, payment-service, product-service]
2019-03-24 01:41:10.158  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: account-service
2019-03-24 01:41:10.183  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: account-service
2019-03-24 01:41:10.184  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: cart-service
2019-03-24 01:41:10.184  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: cart-service
2019-03-24 01:41:10.185  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: edge-service
2019-03-24 01:41:10.185  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: edge-service
2019-03-24 01:41:10.185  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: order-service
2019-03-24 01:41:10.185  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: order-service
2019-03-24 01:41:10.186  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: payment-service
2019-03-24 01:41:10.188  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: payment-service, size=1
2019-03-24 01:41:10.375  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: product-service
2019-03-24 01:41:10.375  WARN 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Eureka returned null for app: product-service
2019-03-24 01:41:10.376  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 1
2019-03-24 01:41:10.377  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2019-03-24 01:41:10.377  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:1, hosts down: 0
2019-03-24 01:42:10.111  INFO 28374 --- [        Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : Fetching instance list for apps: [account-service, cart-service, edge-service, order-service, payment-service, product-service]
2019-03-24 01:42:10.140  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: account-service
2019-03-24 01:42:10.142  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: account-service, size=1
2019-03-24 01:42:10.143  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: cart-service
2019-03-24 01:42:10.144  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: cart-service, size=1
2019-03-24 01:42:10.144  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: edge-service
2019-03-24 01:42:10.146  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: edge-service, size=1
2019-03-24 01:42:10.147  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: order-service
2019-03-24 01:42:10.148  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: order-service, size=1
2019-03-24 01:42:10.149  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: payment-service
2019-03-24 01:42:10.149  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: payment-service, size=1
2019-03-24 01:42:10.149  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: product-service
2019-03-24 01:42:10.150  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: product-service, size=1
2019-03-24 01:42:10.150  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 6
2019-03-24 01:42:10.150  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2019-03-24 01:42:10.150  INFO 28374 --- [        Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:6, hosts down: 0
2019-03-24 01:43:10.117  INFO 28374 --- [        Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : Fetching instance list for apps: [account-service, cart-service, edge-service, order-service, payment-service, product-service]
2019-03-24 01:43:10.118  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: account-service
2019-03-24 01:43:10.118  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: account-service, size=1
2019-03-24 01:43:10.119  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: cart-service
2019-03-24 01:43:10.120  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: cart-service, size=1
2019-03-24 01:43:10.120  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: edge-service
2019-03-24 01:43:10.121  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: edge-service, size=1
2019-03-24 01:43:10.122  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: order-service
2019-03-24 01:43:10.122  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: order-service, size=1
2019-03-24 01:43:10.122  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Fetching instances for app: payment-service
2019-03-24 01:43:10.122  INFO 28374 --- [        Timer-0] o.s.c.n.turbine.EurekaInstanceDiscovery  : Received instance list for app: payment-service, size=1
